SECTOR,sector_name,mean_live,mean_dead,n_reefs,lat,lon
CA,Cairns,22.802702702702703,1.2075135135135135,37,-16.281621567567566,145.87184686486486
CB,Capricorn-Bunker,51.49436363636364,1.6764545454545454,11,-23.572727090909094,152.0803030909091
CG,Cape Grenville,35.91647826086956,6.6455217391304355,23,-11.956710173913045,143.5654347826087
CL,Cooktown-Lizard,28.047423076923074,1.5406923076923076,52,-14.991314115384615,145.46432694230768
CU,Cumberland,27.8745,1.4026875,16,-19.246875,148.467187375
IN,Innisfail,15.168523809523808,1.3166666666666667,21,-17.438968142857142,146.39880952380952
PC,Princess Charlotte,27.21208695652174,2.6538695652173914,23,-13.70615943478261,144.03152182608696
PO,Pompey,26.891903225806452,1.8166129032258065,31,-20.99224729032258,150.463693516129
SW,Swains,31.04202857142857,1.4415428571428572,35,-21.695952285714288,152.39038100000002
TO,Townsville,24.74015625,2.18196875,32,-18.5692708125,147.24895834375
WH,Whitsunday,30.08106666666667,1.5573333333333332,15,-19.832777733333334,149.48999999999998
