time,latitude,longitude,sea_surface_temperature
2002-12-31T12:00:00Z,-24.00,151.00,26.54
2002-12-31T12:00:00Z,-24.00,152.00,25.76
2002-12-31T12:00:00Z,-24.00,153.00,26.00
2002-12-31T12:00:00Z,-24.00,154.00,26.36
2002-12-31T12:00:00Z,-23.00,150.00,26.82
2002-12-31T12:00:00Z,-23.00,151.00,26.26
2002-12-31T12:00:00Z,-23.00,152.00,25.98
2002-12-31T12:00:00Z,-23.00,153.00,26.30
2002-12-31T12:00:00Z,-23.00,154.00,26.61
2002-12-31T12:00:00Z,-22.00,149.00,27.50
2002-12-31T12:00:00Z,-22.00,150.00,27.03
2002-12-31T12:00:00Z,-22.00,151.00,26.61
2002-12-31T12:00:00Z,-22.00,152.00,26.40
2002-12-31T12:00:00Z,-22.00,153.00,26.62
2002-12-31T12:00:00Z,-22.00,154.00,26.92
2002-12-31T12:00:00Z,-21.00,149.00,27.40
2002-12-31T12:00:00Z,-21.00,150.00,26.92
2002-12-31T12:00:00Z,-21.00,151.00,26.64
2002-12-31T12:00:00Z,-21.00,152.00,26.95
2002-12-31T12:00:00Z,-21.00,153.00,27.02
2002-12-31T12:00:00Z,-21.00,154.00,26.97
2002-12-31T12:00:00Z,-20.00,148.00,27.58
2002-12-31T12:00:00Z,-20.00,149.00,27.17
2002-12-31T12:00:00Z,-20.00,150.00,27.00
2002-12-31T12:00:00Z,-20.00,151.00,27.30
2002-12-31T12:00:00Z,-20.00,152.00,27.23
2002-12-31T12:00:00Z,-20.00,153.00,26.89
2002-12-31T12:00:00Z,-20.00,154.00,26.70
2002-12-31T12:00:00Z,-19.00,146.00,28.38
2002-12-31T12:00:00Z,-19.00,147.00,27.78
2002-12-31T12:00:00Z,-19.00,148.00,27.35
2002-12-31T12:00:00Z,-19.00,149.00,27.49
2002-12-31T12:00:00Z,-19.00,150.00,27.49
2002-12-31T12:00:00Z,-19.00,151.00,27.39
2002-12-31T12:00:00Z,-19.00,152.00,27.20
2002-12-31T12:00:00Z,-19.00,153.00,26.83
2002-12-31T12:00:00Z,-19.00,154.00,26.75
2002-12-31T12:00:00Z,-18.00,146.00,27.98
2002-12-31T12:00:00Z,-18.00,147.00,27.72
2002-12-31T12:00:00Z,-18.00,148.00,27.70
2002-12-31T12:00:00Z,-18.00,149.00,27.51
2002-12-31T12:00:00Z,-18.00,150.00,27.37
2002-12-31T12:00:00Z,-18.00,151.00,27.37
2002-12-31T12:00:00Z,-18.00,152.00,27.23
2002-12-31T12:00:00Z,-18.00,153.00,27.22
2002-12-31T12:00:00Z,-18.00,154.00,27.14
2002-12-31T12:00:00Z,-17.00,145.00,28.16
2002-12-31T12:00:00Z,-17.00,146.00,27.92
2002-12-31T12:00:00Z,-17.00,147.00,27.95
2002-12-31T12:00:00Z,-17.00,148.00,27.82
2002-12-31T12:00:00Z,-17.00,149.00,27.74
2002-12-31T12:00:00Z,-17.00,150.00,27.66
2002-12-31T12:00:00Z,-17.00,151.00,27.62
2002-12-31T12:00:00Z,-17.00,152.00,27.51
2002-12-31T12:00:00Z,-17.00,153.00,27.50
2002-12-31T12:00:00Z,-17.00,154.00,27.31
2002-12-31T12:00:00Z,-16.00,145.00,28.06
2002-12-31T12:00:00Z,-16.00,146.00,27.98
2002-12-31T12:00:00Z,-16.00,147.00,27.94
2002-12-31T12:00:00Z,-16.00,148.00,27.95
2002-12-31T12:00:00Z,-16.00,149.00,28.10
2002-12-31T12:00:00Z,-16.00,150.00,28.02
2002-12-31T12:00:00Z,-16.00,151.00,27.95
2002-12-31T12:00:00Z,-16.00,152.00,27.83
2002-12-31T12:00:00Z,-16.00,153.00,27.74
2002-12-31T12:00:00Z,-16.00,154.00,27.75
2002-12-31T12:00:00Z,-15.00,144.00,29.19
2002-12-31T12:00:00Z,-15.00,145.00,28.10
2002-12-31T12:00:00Z,-15.00,146.00,28.06
2002-12-31T12:00:00Z,-15.00,147.00,28.13
2002-12-31T12:00:00Z,-15.00,148.00,28.19
2002-12-31T12:00:00Z,-15.00,149.00,28.22
2002-12-31T12:00:00Z,-15.00,150.00,28.17
2002-12-31T12:00:00Z,-15.00,151.00,28.15
2002-12-31T12:00:00Z,-15.00,152.00,28.07
2002-12-31T12:00:00Z,-15.00,153.00,28.03
2002-12-31T12:00:00Z,-15.00,154.00,28.05
2002-12-31T12:00:00Z,-14.00,144.00,28.48
2002-12-31T12:00:00Z,-14.00,145.00,28.23
2002-12-31T12:00:00Z,-14.00,146.00,28.24
2002-12-31T12:00:00Z,-14.00,147.00,28.31
2002-12-31T12:00:00Z,-14.00,148.00,28.36
2002-12-31T12:00:00Z,-14.00,149.00,28.37
2002-12-31T12:00:00Z,-14.00,150.00,28.32
2002-12-31T12:00:00Z,-14.00,151.00,28.28
2002-12-31T12:00:00Z,-14.00,152.00,28.26
2002-12-31T12:00:00Z,-14.00,153.00,28.26
2002-12-31T12:00:00Z,-14.00,154.00,28.26
2002-12-31T12:00:00Z,-13.00,143.00,28.88
2002-12-31T12:00:00Z,-13.00,144.00,28.28
2002-12-31T12:00:00Z,-13.00,145.00,28.41
2002-12-31T12:00:00Z,-13.00,146.00,28.46
2002-12-31T12:00:00Z,-13.00,147.00,28.42
2002-12-31T12:00:00Z,-13.00,148.00,28.48
2002-12-31T12:00:00Z,-13.00,149.00,28.50
2002-12-31T12:00:00Z,-13.00,150.00,28.47
2002-12-31T12:00:00Z,-13.00,151.00,28.34
2002-12-31T12:00:00Z,-13.00,152.00,28.20
2002-12-31T12:00:00Z,-13.00,153.00,28.22
2002-12-31T12:00:00Z,-13.00,154.00,28.29
2002-12-31T12:00:00Z,-12.00,142.00,29.27
2002-12-31T12:00:00Z,-12.00,143.00,29.03
2002-12-31T12:00:00Z,-12.00,144.00,28.39
2002-12-31T12:00:00Z,-12.00,145.00,28.50
2002-12-31T12:00:00Z,-12.00,146.00,28.63
2002-12-31T12:00:00Z,-12.00,147.00,28.58
2002-12-31T12:00:00Z,-12.00,148.00,28.54
2002-12-31T12:00:00Z,-12.00,149.00,28.49
2002-12-31T12:00:00Z,-12.00,150.00,28.42
2002-12-31T12:00:00Z,-12.00,151.00,28.32
2002-12-31T12:00:00Z,-12.00,152.00,28.14
2002-12-31T12:00:00Z,-12.00,153.00,28.02
2002-12-31T12:00:00Z,-12.00,154.00,28.18
2002-12-31T12:00:00Z,-11.00,142.00,29.55
2002-12-31T12:00:00Z,-11.00,143.00,29.16
2002-12-31T12:00:00Z,-11.00,144.00,28.58
2002-12-31T12:00:00Z,-11.00,145.00,28.70
2002-12-31T12:00:00Z,-11.00,146.00,28.68
2002-12-31T12:00:00Z,-11.00,147.00,28.54
2002-12-31T12:00:00Z,-11.00,148.00,28.45
2002-12-31T12:00:00Z,-11.00,149.00,28.26
2002-12-31T12:00:00Z,-11.00,150.00,28.08
2002-12-31T12:00:00Z,-11.00,151.00,27.72
2002-12-31T12:00:00Z,-11.00,152.00,27.95
2002-12-31T12:00:00Z,-11.00,153.00,28.36
2002-12-31T12:00:00Z,-11.00,154.00,28.55
2002-12-31T12:00:00Z,-10.00,142.00,29.91
2002-12-31T12:00:00Z,-10.00,143.00,29.56
2002-12-31T12:00:00Z,-10.00,144.00,28.79
2002-12-31T12:00:00Z,-10.00,145.00,28.83
2002-12-31T12:00:00Z,-10.00,146.00,28.71
2002-12-31T12:00:00Z,-10.00,147.00,28.44
2002-12-31T12:00:00Z,-10.00,148.00,28.15
2002-12-31T12:00:00Z,-10.00,149.00,28.07
2002-12-31T12:00:00Z,-10.00,150.00,28.52
2002-12-31T12:00:00Z,-10.00,151.00,28.40
2002-12-31T12:00:00Z,-10.00,152.00,28.63
2002-12-31T12:00:00Z,-10.00,153.00,28.69
2002-12-31T12:00:00Z,-10.00,154.00,28.78
2002-12-31T12:00:00Z,-9.00,142.00,30.05
2002-12-31T12:00:00Z,-9.00,143.00,29.88
2002-12-31T12:00:00Z,-9.00,144.00,29.33
2002-12-31T12:00:00Z,-9.00,145.00,29.04
2002-12-31T12:00:00Z,-9.00,146.00,28.84
2002-12-31T12:00:00Z,-9.00,147.00,28.71
2002-12-31T12:00:00Z,-9.00,149.00,29.08
2002-12-31T12:00:00Z,-9.00,150.00,28.84
2002-12-31T12:00:00Z,-9.00,151.00,28.64
2002-12-31T12:00:00Z,-9.00,152.00,28.78
2002-12-31T12:00:00Z,-9.00,153.00,28.80
2002-12-31T12:00:00Z,-9.00,154.00,28.89
2003-01-31T12:00:00Z,-24.00,151.00,26.54
2003-01-31T12:00:00Z,-24.00,152.00,26.16
2003-01-31T12:00:00Z,-24.00,153.00,26.46
2003-01-31T12:00:00Z,-24.00,154.00,26.71
2003-01-31T12:00:00Z,-23.00,150.00,26.84
2003-01-31T12:00:00Z,-23.00,151.00,26.53
2003-01-31T12:00:00Z,-23.00,152.00,26.43
2003-01-31T12:00:00Z,-23.00,153.00,26.62
2003-01-31T12:00:00Z,-23.00,154.00,26.87
2003-01-31T12:00:00Z,-22.00,149.00,27.47
2003-01-31T12:00:00Z,-22.00,150.00,27.24
2003-01-31T12:00:00Z,-22.00,151.00,27.07
2003-01-31T12:00:00Z,-22.00,152.00,26.92
2003-01-31T12:00:00Z,-22.00,153.00,27.10
2003-01-31T12:00:00Z,-22.00,154.00,26.78
2003-01-31T12:00:00Z,-21.00,149.00,27.65
2003-01-31T12:00:00Z,-21.00,150.00,27.42
2003-01-31T12:00:00Z,-21.00,151.00,27.33
2003-01-31T12:00:00Z,-21.00,152.00,27.44
2003-01-31T12:00:00Z,-21.00,153.00,27.16
2003-01-31T12:00:00Z,-21.00,154.00,26.80
2003-01-31T12:00:00Z,-20.00,148.00,27.88
2003-01-31T12:00:00Z,-20.00,149.00,27.62
2003-01-31T12:00:00Z,-20.00,150.00,27.59
2003-01-31T12:00:00Z,-20.00,151.00,27.68
2003-01-31T12:00:00Z,-20.00,152.00,27.32
2003-01-31T12:00:00Z,-20.00,153.00,27.08
2003-01-31T12:00:00Z,-20.00,154.00,27.08
2003-01-31T12:00:00Z,-19.00,146.00,28.81
2003-01-31T12:00:00Z,-19.00,147.00,28.35
2003-01-31T12:00:00Z,-19.00,148.00,28.11
2003-01-31T12:00:00Z,-19.00,149.00,28.02
2003-01-31T12:00:00Z,-19.00,150.00,27.80
2003-01-31T12:00:00Z,-19.00,151.00,27.56
2003-01-31T12:00:00Z,-19.00,152.00,27.25
2003-01-31T12:00:00Z,-19.00,153.00,27.14
